,before,operation,after,probability
0,EMPTY,bring-menus,reading-menus,1.0
1,reading-menus,NOP,table-waiting,1.0
2,table-waiting,NOP,ready-to-order,0.2
3,ready-to-order,NOP,table-waiting,1.0
4,table-waiting,take-info,table-waiting,1.0
5,table-waiting,take-order,table-waiting,1.0
6,table-waiting,bring-drinks,table-waiting,1.0
7,table-waiting,bring-food,table-waiting,1.0
8,table-waiting,NOP,eating,0.2
9,eating,take-info,eating,1.0
10,eating,bring-drinks,eating,1.0
11,eating,NOP,table-waiting,1.0
12,table-waiting,NOP,ready-for-cleanup,0.2
13,ready-for-cleanup,bring-bill,table-waiting,1.0
14,table-waiting,take-dishes,table-waiting,1.0
15,table-waiting,NOP,ready-for-bill,0.2
16,ready-for-bill,NOP,table-waiting,1.0
17,table-waiting,take-bill,ready-for-final-check,1.0
18,ready-for-final-check,NOP,table-waiting,1.0
19,table-waiting,bring-check,table-waiting,1.0
20,table-waiting,NOP,ready-to-leave,0.2
