,before,operation,after,probability
0,EMPTY,NOP,reading-menus,1.0
1,reading-menus,bring-menus,reading-menus,1.0
2,reading-menus,take-order,reading-menus,1.0
3,reading-menus,bring-drinks,reading-menus,1.0
4,reading-menus,take-info,reading-menus,1.0
5,reading-menus,NOP,table-waiting,1.0
6,table-waiting,NOP,ready-to-order,0.25
7,ready-to-order,NOP,table-waiting,1.0
8,table-waiting,take-order,table-waiting,1.0
9,table-waiting,take-dishes,table-waiting,1.0
10,table-waiting,bring-drinks,table-waiting,1.0
11,table-waiting,bring-food,eating,1.0
12,eating,take-info,eating,1.0
13,eating,take-dishes,eating,1.0
14,eating,bring-drinks,eating,1.0
15,eating,NOP,ready-for-cleanup,1.0
16,ready-for-cleanup,NOP,table-waiting,1.0
17,table-waiting,NOP,ready-for-bill,0.25
18,ready-for-bill,take-info,ready-for-bill,1.0
19,ready-for-bill,NOP,table-waiting,1.0
20,table-waiting,bring-bill,table-waiting,1.0
21,table-waiting,NOP,ready-for-final-check,0.25
22,ready-for-final-check,take-bill,ready-for-final-check,1.0
23,ready-for-final-check,NOP,table-waiting,1.0
24,table-waiting,bring-check,table-waiting,1.0
25,table-waiting,NOP,ready-to-leave,0.25
