,start_time,end_time,event,event_type
0,1026,1110,arriving,waiter-action
1,1116,1170,bring:menus,waiter-action
2,1170,1224,leaving,waiter-action
3,7806,7836,arriving,waiter-action
4,7845,8319,take:order,waiter-action
5,8328,8388,leaving,waiter-action
6,8646,8670,arriving,waiter-action
7,8670,8692,bring:menus,waiter-action
8,8694,8719,leaving,waiter-action
9,15096,15150,arriving,waiter-action
10,15150,15158,bring:drinks,waiter-action
11,15159,15165,bring:drinks,waiter-action
12,15165,15186,leaving,waiter-action
13,22026,22074,arriving,waiter-action
14,22086,25716,take:info,waiter-action
15,25731,25833,leaving,waiter-action
16,33390,33480,arriving,waiter-action
17,33489,33585,take:info,waiter-action
18,33585,33633,leaving,waiter-action
19,35933,36036,arriving,waiter-action
20,36041,36766,take:order,waiter-action
21,36766,36796,leaving,waiter-action
22,43546,43634,arriving,waiter-action
23,43634,43703,take:dishes,waiter-action
24,43703,43726,leaving,waiter-action
25,45365,45409,arriving,waiter-action
26,45410,45424,bring:drinks,waiter-action
27,45427,45470,leaving,waiter-action
28,48968,49058,arriving,waiter-action
29,49059,49136,bring:food,waiter-action
30,49143,49229,leaving,waiter-action
31,60049,60116,arriving,waiter-action
32,60119,60252,bring:food,waiter-action
33,60252,60296,leaving,waiter-action
34,60567,60641,arriving,waiter-action
35,60644,60871,take:info,waiter-action
36,60881,60939,take:dishes,waiter-action
37,60939,60986,leaving,waiter-action
38,62353,62400,arriving,waiter-action
39,62404,62501,bring:drinks,waiter-action
40,62503,62570,leaving,waiter-action
41,74607,74674,arriving,waiter-action
42,74674,74697,take:info,waiter-action
43,74697,74727,leaving,waiter-action
44,100050,100209,arriving,waiter-action
45,100209,100810,take:dishes,waiter-action
46,100819,100955,leaving,waiter-action
47,102222,102277,arriving,waiter-action
48,102282,102656,take:info,waiter-action
49,102656,102700,leaving,waiter-action
50,103105,103158,arriving,waiter-action
51,103158,103215,bring:bill,waiter-action
52,103215,103250,leaving,waiter-action
53,106457,106506,arriving,waiter-action
54,106506,106533,take:bill,waiter-action
55,106533,106554,leaving,waiter-action
56,107748,107800,arriving,waiter-action
57,107800,107820,bring:check,waiter-action
58,107822,107854,leaving,waiter-action
59,113959,114021,arriving,waiter-action
60,114021,114147,take:dishes,waiter-action
61,114151,114188,leaving,waiter-action
62,114651,114707,arriving,waiter-action
63,114707,115479,clear:table,waiter-action
64,115484,115544,take:check,waiter-action
65,115545,115865,clear:table,waiter-action
66,115866,115977,leaving,waiter-action
67,30,33660,reading-menus,customer_state
68,33660,33746,table-waiting,customer_state
69,33746,35936,ready-to-order,customer_state
70,35936,49440,table-waiting,customer_state
71,49440,97650,eating,customer_state
72,97650,99990,ready-for-cleanup,customer_state
73,99990,100890,table-waiting,customer_state
74,100890,103080,ready-for-bill,customer_state
75,103080,103365,table-waiting,customer_state
76,103365,107685,ready-for-final-check,customer_state
77,107685,107955,table-waiting,customer_state
78,107955,109785,ready-to-leave,customer_state
